61 915
10 25 1
10 26 1
10 29 1
10 30 1
10 32 1
10 35 1
10 37 1
10 44 1
10 46 1
10 49 1
10 51 1
10 52 1
10 55 1
10 56 1
10 57 1
10 58 1
10 59 1
11 12 1
11 14 1
11 15 1
11 16 1
11 20 1
11 23 1
11 24 1
11 25 1
11 26 1
11 27 1
11 30 1
11 31 1
11 33 1
11 36 1
11 38 1
11 45 1
11 47 1
11 50 1
11 52 1
11 53 1
11 56 1
11 57 1
11 58 1
11 59 1
11 60 1
12 13 1
12 15 1
12 16 1
12 17 1
12 21 1
12 24 1
12 25 1
12 26 1
12 27 1
12 28 1
12 31 1
12 32 1
12 34 1
12 37 1
12 39 1
12 46 1
12 48 1
12 51 1
12 53 1
12 54 1
12 57 1
12 58 1
12 59 1
12 60 1
12 61 1
13 14 1
13 16 1
13 17 1
13 18 1
13 22 1
13 25 1
13 26 1
13 27 1
13 28 1
13 29 1
13 32 1
13 33 1
13 35 1
13 38 1
13 40 1
13 47 1
13 49 1
13 52 1
13 54 1
13 55 1
13 58 1
13 59 1
13 60 1
13 61 1
14 15 1
14 17 1
14 18 1
14 19 1
14 23 1
14 26 1
14 27 1
14 28 1
14 29 1
14 30 1
14 33 1
14 34 1
14 36 1
14 39 1
14 41 1
14 48 1
14 50 1
14 53 1
14 55 1
14 56 1
14 59 1
14 60 1
14 61 1
15 16 1
15 18 1
15 19 1
15 20 1
15 24 1
15 27 1
15 28 1
15 29 1
15 30 1
15 31 1
15 34 1
15 35 1
15 37 1
15 40 1
15 42 1
15 49 1
15 51 1
15 54 1
15 56 1
15 57 1
15 60 1
15 61 1
16 17 1
16 19 1
16 20 1
16 21 1
16 25 1
16 28 1
16 29 1
16 30 1
16 31 1
16 32 1
16 35 1
16 36 1
16 38 1
16 41 1
16 43 1
16 50 1
16 52 1
16 55 1
16 57 1
16 58 1
16 61 1
17 18 1
17 20 1
17 21 1
17 22 1
17 26 1
17 29 1
17 30 1
17 31 1
17 32 1
17 33 1
17 36 1
17 37 1
17 39 1
17 42 1
17 44 1
17 51 1
17 53 1
17 56 1
17 58 1
17 59 1
18 19 1
18 21 1
18 22 1
18 23 1
18 27 1
18 30 1
18 31 1
18 32 1
18 33 1
18 34 1
18 37 1
18 38 1
18 40 1
18 43 1
18 45 1
18 52 1
18 54 1
18 57 1
18 59 1
18 60 1
19 20 1
19 22 1
19 23 1
19 24 1
19 28 1
19 31 1
19 32 1
19 33 1
19 34 1
19 35 1
19 38 1
19 39 1
19 41 1
19 44 1
19 46 1
19 53 1
19 55 1
19 58 1
19 60 1
19 61 1
20 21 1
20 23 1
20 24 1
20 25 1
20 29 1
20 32 1
20 33 1
20 34 1
20 35 1
20 36 1
20 39 1
20 40 1
20 42 1
20 45 1
20 47 1
20 54 1
20 56 1
20 59 1
20 61 1
21 22 1
21 24 1
21 25 1
21 26 1
21 30 1
21 33 1
21 34 1
21 35 1
21 36 1
21 37 1
21 40 1
21 41 1
21 43 1
21 46 1
21 48 1
21 55 1
21 57 1
21 60 1
22 23 1
22 25 1
22 26 1
22 27 1
22 31 1
22 34 1
22 35 1
22 36 1
22 37 1
22 38 1
22 41 1
22 42 1
22 44 1
22 47 1
22 49 1
22 56 1
22 58 1
22 61 1
23 24 1
23 26 1
23 27 1
23 28 1
23 32 1
23 35 1
23 36 1
23 37 1
23 38 1
23 39 1
23 42 1
23 43 1
23 45 1
23 48 1
23 50 1
23 57 1
23 59 1
24 25 1
24 27 1
24 28 1
24 29 1
24 33 1
24 36 1
24 37 1
24 38 1
24 39 1
24 40 1
24 43 1
24 44 1
24 46 1
24 49 1
24 51 1
24 58 1
24 60 1
25 26 1
25 28 1
25 29 1
25 30 1
25 34 1
25 37 1
25 38 1
25 39 1
25 40 1
25 41 1
25 44 1
25 45 1
25 47 1
25 50 1
25 52 1
25 59 1
25 61 1
26 27 1
26 29 1
26 30 1
26 31 1
26 35 1
26 38 1
26 39 1
26 40 1
26 41 1
26 42 1
26 45 1
26 46 1
26 48 1
26 51 1
26 53 1
26 60 1
27 28 1
27 30 1
27 31 1
27 32 1
27 36 1
27 39 1
27 40 1
27 41 1
27 42 1
27 43 1
27 46 1
27 47 1
27 49 1
27 52 1
27 54 1
27 61 1
28 29 1
28 31 1
28 32 1
28 33 1
28 37 1
28 40 1
28 41 1
28 42 1
28 43 1
28 44 1
28 47 1
28 48 1
28 50 1
28 53 1
28 55 1
29 30 1
29 32 1
29 33 1
29 34 1
29 38 1
29 41 1
29 42 1
29 43 1
29 44 1
29 45 1
29 48 1
29 49 1
29 51 1
29 54 1
29 56 1
30 31 1
30 33 1
30 34 1
30 35 1
30 39 1
30 42 1
30 43 1
30 44 1
30 45 1
30 46 1
30 49 1
30 50 1
30 52 1
30 55 1
30 57 1
31 32 1
31 34 1
31 35 1
31 36 1
31 40 1
31 43 1
31 44 1
31 45 1
31 46 1
31 47 1
31 50 1
31 51 1
31 53 1
31 56 1
31 58 1
32 33 1
32 35 1
32 36 1
32 37 1
32 41 1
32 44 1
32 45 1
32 46 1
32 47 1
32 48 1
32 51 1
32 52 1
32 54 1
32 57 1
32 59 1
33 34 1
33 36 1
33 37 1
33 38 1
33 42 1
33 45 1
33 46 1
33 47 1
33 48 1
33 49 1
33 52 1
33 53 1
33 55 1
33 58 1
33 60 1
34 35 1
34 37 1
34 38 1
34 39 1
34 43 1
34 46 1
34 47 1
34 48 1
34 49 1
34 50 1
34 53 1
34 54 1
34 56 1
34 59 1
34 61 1
35 36 1
35 38 1
35 39 1
35 40 1
35 44 1
35 47 1
35 48 1
35 49 1
35 50 1
35 51 1
35 54 1
35 55 1
35 57 1
35 60 1
36 37 1
36 39 1
36 40 1
36 41 1
36 45 1
36 48 1
36 49 1
36 50 1
36 51 1
36 52 1
36 55 1
36 56 1
36 58 1
36 61 1
37 38 1
37 40 1
37 41 1
37 42 1
37 46 1
37 49 1
37 50 1
37 51 1
37 52 1
37 53 1
37 56 1
37 57 1
37 59 1
38 39 1
38 41 1
38 42 1
38 43 1
38 47 1
38 50 1
38 51 1
38 52 1
38 53 1
38 54 1
38 57 1
38 58 1
38 60 1
39 40 1
39 42 1
39 43 1
39 44 1
39 48 1
39 51 1
39 52 1
39 53 1
39 54 1
39 55 1
39 58 1
39 59 1
39 61 1
40 41 1
40 43 1
40 44 1
40 45 1
40 49 1
40 52 1
40 53 1
40 54 1
40 55 1
40 56 1
40 59 1
40 60 1
41 42 1
41 44 1
41 45 1
41 46 1
41 50 1
41 53 1
41 54 1
41 55 1
41 56 1
41 57 1
41 60 1
41 61 1
42 43 1
42 45 1
42 46 1
42 47 1
42 51 1
42 54 1
42 55 1
42 56 1
42 57 1
42 58 1
42 61 1
43 44 1
43 46 1
43 47 1
43 48 1
43 52 1
43 55 1
43 56 1
43 57 1
43 58 1
43 59 1
44 45 1
44 47 1
44 48 1
44 49 1
44 53 1
44 56 1
44 57 1
44 58 1
44 59 1
44 60 1
45 46 1
45 48 1
45 49 1
45 50 1
45 54 1
45 57 1
45 58 1
45 59 1
45 60 1
45 61 1
46 47 1
46 49 1
46 50 1
46 51 1
46 55 1
46 58 1
46 59 1
46 60 1
46 61 1
47 48 1
47 50 1
47 51 1
47 52 1
47 56 1
47 59 1
47 60 1
47 61 1
48 49 1
48 51 1
48 52 1
48 53 1
48 57 1
48 60 1
48 61 1
49 50 1
49 52 1
49 53 1
49 54 1
49 58 1
49 61 1
50 51 1
50 53 1
50 54 1
50 55 1
50 59 1
51 52 1
51 54 1
51 55 1
51 56 1
51 60 1
52 53 1
52 55 1
52 56 1
52 57 1
52 61 1
53 54 1
53 56 1
53 57 1
53 58 1
54 55 1
54 57 1
54 58 1
54 59 1
55 56 1
55 58 1
55 59 1
55 60 1
56 57 1
56 59 1
56 60 1
56 61 1
57 58 1
57 60 1
57 61 1
58 59 1
58 61 1
59 60 1
60 61 1
