1000 49950 
8 572 7
8 273 3
8 410 5
8 513 1
8 820 1
8 726 6
8 591 3
8 1000 4
8 692 4
8 263 2
8 18 7
8 938 1
8 390 1
8 140 6
8 654 4
8 964 5
8 251 7
8 558 1
8 460 1
8 604 4
8 15 3
8 853 10
8 949 2
8 420 5
8 821 1
8 435 2
8 69 10
8 508 9
8 615 4
8 507 3
8 804 9
8 174 6
8 330 4
8 724 2
8 209 7
8 237 9
8 979 5
8 947 6
8 891 6
8 568 9
8 801 10
8 999 3
8 629 6
8 673 5
8 356 4
8 598 1
8 649 10
8 463 7
8 104 10
8 745 6
8 106 3
8 837 10
8 685 4
8 264 1
8 495 8
8 907 3
8 212 9
8 760 6
8 723 8
8 376 6
8 136 4
8 117 8
8 151 5
8 364 3
8 146 4
8 959 2
8 161 4
8 112 2
8 864 2
8 570 3
8 910 5
8 35 3
8 757 8
8 334 1
8 439 7
8 935 7
8 901 4
8 705 7
8 426 5
8 627 3
8 812 3
8 294 10
8 336 2
8 328 4
8 469 3
8 687 6
8 300 10
8 44 2
8 751 2
8 275 10
8 701 2
8 578 4
8 534 7
8 108 9
9 99 8
9 482 8
9 156 8
9 588 3
9 825 8
9 631 8
9 127 6
9 519 4
9 139 4
9 414 5
9 354 3
9 331 3
9 566 7
9 78 3
9 267 2
9 494 10
9 961 8
9 674 2
9 443 9
9 645 6
9 382 8
9 172 10
9 176 10
9 647 8
9 769 10
9 94 3
9 440 4
9 114 4
9 362 8
9 958 7
9 501 6
9 661 5
9 506 2
9 270 6
9 12 4
9 273 1
9 460 2
9 809 2
9 433 8
9 910 9
9 784 4
9 662 6
9 914 6
9 427 3
9 867 9
9 49 3
9 858 9
9 248 8
9 775 2
9 140 7
9 112 7
9 810 3
9 32 6
9 537 5
9 791 10
9 570 5
9 544 5
9 91 6
9 275 1
9 922 4
9 770 8
9 261 7
9 390 5
9 836 8
9 639 7
9 783 2
9 372 8
9 949 3
9 73 5
9 822 6
9 257 5
9 437 9
9 625 9
9 160 6
9 807 2
9 924 10
9 826 9
9 785 1
9 789 8
9 191 2
9 298 2
9 472 3
9 954 3
9 730 3
9 111 1
9 585 8
9 766 8
9 640 5
9 725 7
9 269 2
9 137 4
9 551 5
9 341 7
9 765 5
9 703 4
9 583 10
9 478 4
9 933 4
9 681 5
9 800 7
9 862 10
9 228 8
9 655 9
9 411 9
9 985 8
9 51 6
9 675 6
10 525 10
10 219 8
10 73 1
10 965 4
10 384 10
10 44 10
10 49 1
10 638 7
10 108 2
10 211 7
10 444 2
10 343 8
10 771 6
10 429 1
10 307 8
10 840 6
10 337 3
10 71 6
10 488 9
10 36 6
10 40 5
10 686 8
10 567 2
10 962 8
10 435 5
10 719 8
10 129 8
10 468 2
10 410 4
10 601 5
10 19 9
10 929 8
10 890 5
10 417 9
10 235 2
10 991 1
10 51 2
10 137 2
10 834 1
10 979 8
10 699 1
10 981 1
10 116 5
10 149 2
10 630 3
10 278 7
10 606 1
10 827 3
10 912 3
10 546 4
10 135 1
10 656 1
10 179 8
10 393 10
10 249 7
10 411 3
10 405 6
10 371 7
10 908 9
10 627 4
10 234 1
10 966 6
10 342 9
10 305 7
10 173 9
10 531 4
10 422 9
10 272 4
10 247 10
10 963 4
10 754 10
10 829 1
10 770 7
10 535 2
10 803 10
10 916 3
10 861 1
10 483 5
10 244 8
10 139 8
10 807 3
10 798 5
10 997 6
10 657 7
10 898 8
10 985 4
10 119 9
10 101 6
10 202 9
10 599 7
10 99 10
10 519 1
10 704 10
10 134 3
10 639 5
10 147 3
10 530 8
10 633 8
10 980 7
10 155 3
10 59 8
10 831 6
10 322 9
11 554 8
11 283 4
11 183 4
11 451 5
11 448 2
11 676 2
11 377 6
11 379 5
11 697 4
11 724 7
11 402 4
11 609 3
11 756 3
11 477 1
11 365 3
11 348 5
11 110 9
11 153 6
11 151 3
11 523 4
11 572 6
11 840 8
11 652 2
11 721 7
11 372 3
11 87 5
11 246 7
11 362 10
11 584 5
11 145 9
11 15 10
11 428 7
11 739 1
11 966 1
11 601 4
11 276 10
11 591 7
11 789 6
11 60 7
11 114 1
11 127 1
11 437 9
11 888 7
11 529 9
11 166 3
11 823 5
11 816 9
11 234 3
11 394 5
11 805 8
11 150 2
11 409 4
11 452 5
11 764 5
11 485 7
11 459 10
11 133 1
11 493 5
11 302 3
11 870 3
11 637 5
11 589 5
11 47 4
11 530 10
11 703 3
11 512 4
11 856 5
11 484 6
11 618 9
11 564 1
11 783 8
11 967 3
11 24 1
11 729 9
11 556 8
11 841 2
11 335 6
11 661 8
11 425 3
11 470 4
11 937 8
11 240 1
11 422 2
11 242 10
11 282 6
11 969 10
11 496 10
11 509 5
11 411 3
11 785 1
11 548 7
11 956 6
11 93 1
11 635 1
11 742 8
11 471 5
11 136 4
11 806 3
11 374 7
11 202 3
11 713 3
11 265 3
11 862 5
11 99 10
11 575 6
11 887 7
11 157 7
11 926 6
11 149 4
11 141 9
11 846 6
12 746 7
12 406 7
12 137 2
12 713 4
12 683 6
12 936 2
12 230 7
12 966 3
12 358 5
12 13 2
12 85 1
12 334 5
12 574 5
12 195 4
12 717 10
12 217 1
12 70 9
12 60 3
12 266 9
12 825 8
12 818 4
12 748 3
12 58 1
12 476 5
12 463 3
12 72 2
12 392 7
12 816 8
12 628 10
12 665 4
12 496 8
12 607 6
12 615 9
12 543 1
12 567 5
12 52 2
12 928 5
12 575 8
12 206 9
12 253 3
12 142 1
12 93 7
12 861 10
12 908 3
12 91 3
12 637 4
12 417 3
12 843 8
12 202 6
12 767 8
12 782 4
12 380 1
12 744 5
12 341 7
12 104 3
12 648 8
12 298 5
12 764 1
12 679 2
12 507 9
12 129 5
12 18 6
12 549 3
12 972 8
12 336 4
12 613 10
12 631 1
12 134 2
12 622 3
12 146 4
12 105 1
12 965 2
12 778 5
12 399 6
12 989 10
12 218 5
12 234 9
12 682 9
12 892 6
12 711 10
12 968 3
12 585 1
12 163 1
12 710 8
12 789 6
12 623 10
12 484 1
12 466 6
12 97 9
12 858 10
12 21 5
12 884 2
12 452 2
12 318 5
12 546 9
12 582 8
12 107 7
12 820 4
12 244 9
12 20 8
12 865 5
12 695 3
12 566 8
12 996 4
12 790 8
12 324 7
12 886 6
12 465 1
12 688 7
12 584 7
12 17 6
12 663 2
12 691 3
13 583 3
13 564 4
13 198 6
13 253 6
13 935 9
13 491 2
13 646 8
13 233 4
13 697 5
13 657 5
13 732 7
13 271 2
13 208 2
13 847 8
13 97 10
13 168 3
13 590 5
13 721 8
13 372 8
13 313 7
13 145 10
13 83 3
13 98 1
13 398 6
13 305 10
13 409 4
13 598 8
13 378 9
13 860 5
13 766 7
13 102 7
13 238 7
13 89 7
13 426 8
13 122 5
13 418 1
13 690 10
13 983 3
13 947 6
13 704 2
13 34 6
13 325 6
13 837 10
13 50 1
13 42 7
13 26 8
13 658 3
13 133 6
13 786 2
13 715 3
13 867 9
13 740 10
13 446 5
13 250 10
13 965 1
13 154 6
13 93 2
13 726 7
13 87 10
13 866 9
13 243 3
13 390 7
13 760 8
13 670 2
13 258 5
13 977 10
13 723 10
13 843 4
13 561 3
13 290 6
13 406 4
13 897 4
13 125 1
13 375 2
13 632 10
13 478 1
13 777 5
13 362 1
13 702 3
13 606 6
13 790 1
13 195 8
13 115 7
14 168 1
14 262 8
14 652 10
14 823 5
14 536 2
14 822 1
14 295 8
14 993 3
14 311 7
14 154 6
14 518 3
14 217 8
14 140 10
14 44 8
14 73 7
14 145 8
14 650 8
14 802 7
14 776 9
14 18 2
14 122 3
14 504 4
14 835 1
14 737 1
14 831 3
14 794 8
14 281 6
14 234 3
14 103 6
14 312 1
14 277 2
14 443 7
14 681 3
14 543 9
14 20 1
14 79 2
14 290 1
14 485 10
14 780 4
14 885 10
14 465 6
14 283 3
14 81 6
14 761 9
14 162 1
14 723 3
14 61 4
14 657 6
14 492 4
14 125 6
14 807 5
14 71 4
14 510 7
14 36 7
14 875 7
14 649 1
14 520 1
14 313 9
14 799 8
14 838 9
14 316 3
14 511 9
14 729 5
14 848 3
14 89 8
14 177 4
14 720 7
14 331 6
14 562 9
14 967 8
14 226 5
14 760 6
14 502 2
14 979 6
14 960 9
14 127 3
14 403 3
14 677 2
14 648 1
14 739 9
14 325 6
14 522 2
14 603 10
14 224 8
14 558 1
14 788 1
14 167 2
14 837 1
14 231 8
14 212 4
14 245 7
14 417 9
14 899 5
14 493 8
14 716 10
14 621 7
14 199 8
14 801 1
14 974 4
14 142 4
14 626 1
14 839 1
14 178 6
14 915 5
14 144 8
14 680 5
14 676 2
15 514 7
15 538 1
15 178 2
15 435 4
15 496 1
15 211 10
15 653 6
15 239 4
15 847 3
15 906 6
15 875 7
15 861 1
15 804 8
15 829 4
15 444 6
15 483 4
15 145 8
15 706 3
15 926 4
15 989 9
15 366 8
15 454 9
15 214 1
15 786 1
15 992 1
15 670 7
15 823 6
15 813 6
15 32 1
15 833 8
15 798 6
15 745 10
15 940 7
15 340 8
15 221 8
15 120 6
15 569 10
15 600 8
15 80 1
15 928 7
15 841 8
15 825 1
15 521 10
15 583 5
15 426 10
15 980 2
15 705 9
15 293 9
15 768 4
15 574 5
15 390 2
15 995 5
15 580 10
15 792 8
15 119 3
15 937 7
15 984 3
15 806 2
15 871 3
15 999 6
15 665 7
15 328 5
15 778 7
15 489 3
15 872 6
15 674 6
15 180 9
15 453 1
15 168 9
15 459 10
15 45 4
15 228 4
15 126 6
15 162 5
15 139 3
15 594 9
15 458 7
15 916 6
15 387 8
15 922 9
15 487 7
15 609 9
15 410 2
16 671 4
16 555 2
16 714 1
16 870 9
16 123 3
16 203 2
16 162 1
16 798 3
16 58 8
16 531 9
16 397 6
16 535 1
16 17 10
16 56 5
16 223 5
16 626 6
16 177 9
16 931 3
16 238 2
16 198 5
16 642 1
16 887 10
16 933 6
16 772 6
16 632 3
16 403 3
16 753 6
16 987 2
16 192 3
16 79 7
16 819 8
16 161 2
16 514 3
16 313 10
16 472 6
16 489 5
16 390 9
16 340 7
16 510 4
16 119 10
16 616 10
16 981 8
16 822 6
16 581 5
16 976 4
16 549 6
16 252 7
16 937 10
16 571 6
16 585 6
16 890 8
16 977 6
16 855 1
16 882 6
16 720 6
16 990 3
16 968 5
16 984 1
16 276 1
16 293 2
16 955 6
16 349 4
16 650 10
16 980 6
16 304 10
16 721 9
16 215 9
16 111 3
16 802 9
16 894 4
16 415 4
16 274 6
16 945 9
16 627 7
16 315 10
16 751 2
16 921 1
16 145 5
16 411 5
16 376 10
16 697 9
16 923 1
16 889 7
16 575 10
16 357 5
16 448 6
16 577 2
16 249 1
16 902 8
16 93 8
16 862 3
16 631 6
16 227 5
16 369 2
16 846 3
16 104 2
16 424 3
16 745 6
16 749 4
16 752 10
16 21 10
16 378 2
16 195 10
16 592 4
17 976 3
17 407 4
17 852 4
17 735 2
17 868 1
17 304 1
17 909 1
17 695 3
17 65 1
17 42 7
17 798 4
17 667 8
17 485 5
17 153 8
17 801 8
17 300 3
17 965 2
17 399 10
17 329 5
17 358 10
17 468 2
17 985 5
17 94 6
17 343 5
17 804 2
17 372 1
17 499 3
17 576 5
17 818 7
17 582 1
17 701 5
17 474 3
17 235 9
17 251 5
17 259 9
17 366 9
17 383 10
17 150 1
17 53 7
17 698 8
17 470 6
17 431 10
17 711 9
17 333 10
17 392 3
17 670 8
17 673 1
17 610 5
17 327 6
17 271 10
17 642 10
17 567 5
17 285 9
17 811 5
17 326 4
17 161 7
17 745 3
17 908 3
17 51 10
17 954 7
17 905 5
17 266 10
17 835 3
17 135 5
17 555 3
17 434 9
17 714 2
17 178 8
17 170 1
17 987 2
17 769 6
17 413 1
17 275 4
17 707 4
17 131 3
17 934 7
17 241 7
17 820 8
17 928 10
17 789 6
17 425 4
17 302 3
17 411 2
17 508 3
17 283 2
17 948 6
17 854 8
17 47 5
17 687 3
17 512 4
17 728 7
17 907 6
17 385 6
17 997 7
17 136 6
17 902 10
17 203 7
17 451 2
17 77 6
17 260 4
17 916 9
17 717 9
17 68 4
17 565 7
17 540 6
17 442 9
17 417 4
17 346 3
18 252 8
18 133 10
18 839 6
18 664 3
18 897 1
18 257 6
18 864 1
18 962 5
18 901 4
18 741 1
18 201 8
18 90 7
18 471 8
18 336 2
18 835 6
18 908 4
18 492 9
18 290 5
18 189 4
18 860 6
18 244 4
18 628 7
18 504 6
18 274 8
18 181 5
18 222 7
18 137 3
18 812 2
18 33 7
18 556 7
18 983 7
18 567 2
18 771 6
18 172 8
18 338 8
18 652 5
18 484 2
18 710 1
18 795 3
18 709 8
18 349 2
18 509 10
18 268 8
18 708 7
18 408 9
18 214 7
18 594 2
18 998 8
18 512 2
18 851 2
18 910 2
18 605 3
18 869 7
18 739 6
18 291 7
18 164 1
18 163 9
18 277 9
18 877 8
18 551 9
18 793 3
18 327 7
18 600 2
18 74 9
18 287 4
18 553 7
18 445 5
18 702 3
18 532 10
18 952 6
18 458 10
18 663 2
18 919 3
18 382 3
18 654 7
18 452 5
18 432 6
18 165 8
18 117 9
18 41 10
18 634 9
18 502 7
18 200 1
18 262 7
18 909 7
18 974 10
18 183 6
18 26 4
18 272 10
18 173 10
18 384 3
18 115 4
18 457 1
18 270 1
18 332 5
18 740 6
18 606 3
18 885 10
18 883 10
18 797 8
18 36 10
18 323 9
18 182 10
18 131 6
18 939 9
19 79 5
19 257 10
19 451 9
19 670 9
19 313 8
19 269 5
19 229 1
19 713 7
19 700 7
19 601 3
19 384 7
19 138 9
19 378 1
19 987 2
19 698 7
19 91 2
19 386 9
19 267 6
19 124 1
19 888 9
19 648 2
19 209 4
19 65 7
19 954 8
19 191 8
19 66 7
19 986 2
19 563 9
19 77 1
19 902 5
19 878 3
19 759 7
19 979 6
19 343 4
19 502 4
19 299 9
19 662 9
19 360 2
19 380 10
19 844 6
19 371 7
19 897 6
19 345 10
19 777 6
19 728 7
19 718 9
19 814 5
19 552 6
19 99 8
19 608 9
19 859 5
19 197 10
19 388 7
19 55 4
19 93 7
19 377 9
19 671 4
19 160 4
19 717 2
19 557 10
19 514 6
19 573 3
19 941 9
19 605 5
19 200 5
19 292 9
19 565 10
19 82 6
19 73 7
19 920 6
19 553 2
19 273 4
19 279 6
19 405 9
19 729 9
19 526 1
19 667 10
19 654 2
19 673 1
19 425 8
19 286 9
19 141 6
19 726 1
19 545 8
19 707 10
19 692 4
19 211 6
19 568 9
19 31 2
19 977 1
19 212 2
19 161 8
19 998 10
19 328 8
19 856 9
19 535 4
19 603 1
19 240 1
19 198 1
19 532 10
19 106 3
20 925 4
20 721 6
20 322 1
20 592 9
20 274 5
20 76 7
20 441 4
20 918 6
20 475 8
20 598 10
20 61 8
20 173 3
20 149 4
20 886 8
20 36 10
20 714 1
20 184 3
20 701 8
20 434 2
20 254 4
20 106 10
20 290 6
20 743 6
20 924 5
20 458 5
20 283 1
20 273 9
20 565 7
20 469 5
20 989 8
20 423 3
20 301 2
20 769 9
20 702 3
20 998 1
20 694 8
20 368 7
20 562 4
20 560 8
20 412 7
20 855 4
20 261 8
20 278 5
20 145 8
20 26 4
20 275 8
20 411 3
20 471 3
20 59 8
20 861 4
20 62 8
20 881 3
20 901 3
20 129 4
20 900 6
20 158 1
20 267 3
20 583 4
20 310 9
20 272 7
20 181 5
20 236 3
20 240 3
20 534 6
20 600 3
20 97 10
20 623 6
20 778 2
20 490 9
20 238 1
20 533 6
20 225 6
20 564 10
20 514 1
20 737 4
20 331 7
20 883 7
20 248 7
20 649 8
20 384 8
20 597 4
20 671 6
20 656 10
20 734 10
20 468 7
20 905 3
20 556 4
20 56 5
20 987 6
20 400 9
20 124 8
20 292 8
20 324 4
20 812 5
20 582 10
20 410 4
20 842 9
20 258 7
20 804 1
20 850 9
20 27 5
20 315 4
21 666 1
21 196 8
21 771 8
21 816 2
21 995 8
21 108 4
21 644 2
21 128 1
21 518 7
21 263 3
21 150 6
21 259 1
21 300 1
21 660 8
21 154 1
21 229 2
21 729 8
21 213 1
21 147 10
21 447 9
21 977 6
21 756 4
21 966 4
21 396 10
21 416 1
21 427 1
21 420 7
21 811 5
21 373 4
21 594 8
21 708 3
21 143 6
21 861 3
21 187 7
21 752 9
21 863 8
21 562 10
21 996 5
21 42 8
21 444 5
21 359 6
21 158 8
21 665 10
21 281 7
21 803 7
21 223 8
21 589 9
21 69 7
21 339 1
21 45 8
21 80 6
21 160 3
21 836 9
21 255 6
21 430 4
21 969 4
21 424 4
21 788 8
21 299 8
21 952 1
21 32 1
21 137 1
21 28 6
21 513 10
21 746 10
21 507 9
21 719 10
21 206 10
21 121 2
21 616 7
21 733 7
21 879 2
21 146 4
21 703 10
21 417 10
21 228 7
21 789 9
21 520 8
21 872 1
21 260 8
21 237 3
21 597 9
21 464 3
21 264 6
21 541 4
21 221 10
21 605 4
21 413 3
21 889 3
21 673 10
21 732 3
21 572 8
21 38 9
21 669 3
21 90 6
21 510 3
21 796 6
21 268 8
22 239 7
22 461 2
22 288 7
22 382 5
22 139 1
22 690 5
22 591 8
22 750 1
22 194 3
22 468 8
22 826 7
22 907 10
22 495 5
22 667 1
22 588 3
22 865 8
22 523 6
22 159 3
22 684 7
22 425 4
22 958 8
22 517 4
22 643 1
22 462 1
22 949 1
22 177 6
22 376 10
22 864 3
22 341 5
22 719 7
22 669 9
22 717 4
22 393 1
22 608 2
22 508 10
22 284 3
22 692 8
22 246 4
22 263 4
22 954 9
22 680 6
22 269 9
22 205 5
22 990 1
22 336 7
22 683 2
22 976 7
22 617 6
22 757 8
22 909 8
22 858 4
22 209 1
22 106 4
22 110 3
22 187 10
22 937 4
22 959 3
22 857 10
22 198 8
22 541 9
22 204 4
22 894 7
22 621 4
22 473 4
22 827 3
22 241 2
22 924 8
22 771 2
22 613 5
22 536 10
22 567 2
22 579 8
22 312 1
22 709 10
22 369 8
22 311 6
22 945 10
22 705 2
22 283 9
22 889 2
22 67 8
22 916 8
22 242 6
23 961 1
23 679 10
23 944 2
23 886 8
23 666 10
23 694 4
23 509 4
23 713 3
23 723 2
23 892 5
23 339 2
23 606 5
23 131 9
23 370 1
23 645 6
23 70 5
23 935 3
23 954 1
23 918 5
23 542 3
23 544 5
23 429 3
23 922 8
23 39 2
23 825 6
23 626 8
23 604 5
23 270 10
23 889 3
23 365 6
23 487 1
23 475 10
23 726 7
23 866 5
23 378 2
23 356 9
23 71 9
23 294 6
23 431 6
23 137 4
23 798 5
23 299 2
23 504 1
23 409 2
23 101 2
23 727 4
23 448 5
23 119 8
23 613 7
23 673 6
23 854 4
23 75 5
23 676 9
23 488 3
23 869 6
23 913 8
23 314 6
23 514 1
23 271 3
23 758 6
23 813 3
23 219 7
23 466 3
23 490 9
23 668 9
23 996 9
23 113 2
23 587 5
23 778 8
23 59 7
23 437 2
23 822 1
23 471 7
23 732 6
23 807 6
23 29 6
23 867 1
23 831 10
23 405 7
23 568 10
23 985 9
23 582 4
23 951 2
23 980 7
23 567 1
23 446 9
23 92 8
23 37 1
23 635 9
23 30 9
23 529 8
23 628 2
23 598 2
23 551 3
23 743 4
23 735 1
23 602 5
23 741 10
24 225 8
24 420 10
24 901 3
24 332 7
24 913 6
24 747 7
24 522 10
24 762 2
24 792 9
24 265 7
24 731 6
24 245 3
24 718 3
24 513 7
24 171 7
24 816 2
24 817 2
24 955 8
24 801 5
24 104 2
24 444 1
24 899 3
24 697 6
24 461 2
24 35 5
24 614 3
24 288 2
24 260 9
24 36 3
24 607 10
24 648 1
24 278 10
24 821 8
24 30 6
24 46 9
24 197 2
24 331 10
24 748 3
24 319 10
24 451 9
24 115 3
24 450 5
24 471 3
24 694 7
24 763 1
24 55 8
24 560 9
24 77 3
24 987 7
